,Id,Sentiment,Text Tweet,clean_teks,clean_teks2
235,236,positive,ada banyak fitur  dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>,fitur kartu perdana yg udah g provider nameyoutubetahun provider name jabo,"['fitur', 'kartu', 'perdana', 'yg', 'udah', 'g', 'provider nameyoutubetahun', 'provider name jabo']"
236,237,positive,"Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh",minggu masuk kerja gak dikerjain ujung cari lapak rebah denger musik youtube top deh,"['minggu', 'masuk', 'kerja', 'gak', 'dikerjain', 'ujung', 'cari', 'lapak', 'rebah', 'denger', 'musik', 'youtube', 'top', 'deh']"
237,238,positive,Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. ,enak belanja online sinyal kuat kencang pakai,"['enak', 'belanja', 'online', 'sinyal', 'kuat', 'kencang', 'pakai']"
238,239,positive,Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya! ,mantap paket bikin mupeng product namenya,"['mantap', 'paket', 'bikin', 'mupeng', 'product namenya']"
239,240,positive,Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga.. ,bonus thr bonus nih bikin hati senang,"['bonus', 'thr', 'bonus', 'nih', 'bikin', 'hati', 'senang']"
240,241,positive,"Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget",pagi sahur purwakarta sinyal nya bagus banget,"['pagi', 'sahur', 'purwakarta', 'sinyal', 'nya', 'bagus', 'banget']"
241,242,positive,"Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>",astaga udah sore aja asyik main hape sinyal lancar hebat emang,"['astaga', 'udah', 'sore', 'aja', 'asyik', 'main', 'hape', 'sinyal', 'lancar', 'hebat', 'emang']"
242,243,positive,"Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar",kadang cari referensi youtube gudang informasi keren youtube an kuota streaming lancar,"['kadang', 'cari', 'referensi', 'youtube', 'gudang', 'informasi', 'keren', 'youtube', 'an', 'kuota', 'streaming', 'lancar']"
243,244,positive,belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.,ajar edit video youtube enak cepat paham kalo jaringan lancar kencang,"['ajar', 'edit', 'video', 'youtube', 'enak', 'cepat', 'paham', 'kalo', 'jaringan', 'lancar', 'kencang']"
244,245,positive,"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar.",tethering pakai kartu sinyal kencang badai browsing cari bahan artikel jamin lancar,"['tethering', 'pakai', 'kartu', 'sinyal', 'kencang', 'badai', 'browsing', 'cari', 'bahan', 'artikel', 'jamin', 'lancar']"
245,246,negative,Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,pakai produk boikot,"['pakai', 'produk', 'boikot']"
246,247,negative,Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya,ayo pakai kartu buang got ya,"['ayo', 'pakai', 'kartu', 'buang', 'got', 'ya']"
247,248,negative,#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..,boikotprovider namesaatnya hijrah selamat tinggal,"['boikotprovider namesaatnya', 'hijrah', 'selamat', 'tinggal']"
248,249,positive,Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah,alhamdulillah kuota murah,"['alhamdulillah', 'kuota', 'murah']"
249,250,negative,"Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget ",tarif mahal tambah jaringan susah kesal banget,"['tarif', 'mahal', 'tambah', 'jaringan', 'susah', 'kesal', 'banget']"
250,251,negative,"<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME> ",pulsa tm nelpon simpati pulsa gak kampret,"['pulsa', 'tm', 'nelpon', 'simpati', 'pulsa', 'gak', 'kampret']"
251,252,positive,Tiba-tiba ada sinyal 4g di rumahku.  Biasanya gak ada.. lancar juga. <PROVIDER_NAME>,tibatiba sinyal g rumah gak lancar,"['tibatiba', 'sinyal', 'g', 'rumah', 'gak', 'lancar']"
252,253,negative,"Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>",harap bagus kerja onlineternyata internetnya simpat nama,"['harap', 'bagus', 'kerja', 'onlineternyata', 'internetnya', 'simpat', 'nama']"
253,254,negative,Jaringan internet <PROVIDER_NAME> di sumba timur parah....,jaringan internet sumba timur parah,"['jaringan', 'internet', 'sumba', 'timur', 'parah']"
254,255,negative,Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.,kualitas jaringan turun wilayah sukabumi,"['kualitas', 'jaringan', 'turun', 'wilayah', 'sukabumi']"
255,256,negative,Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang,keluh sinyal layan jaringan internet,"['keluh', 'sinyal', 'layan', 'jaringan', 'internet']"
256,257,negative,"Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas",malam jaringan super lelet gak kualitas,"['malam', 'jaringan', 'super', 'lelet', 'gak', 'kualitas']"
257,258,negative,Sinyal <PROVIDER_NAME> yang sangat menyedihkan,sinyal sedih,"['sinyal', 'sedih']"
258,259,negative,<PROVIDER_NAME> makin bangsat kalau dibiarin,bangsat dibiarin,"['bangsat', 'dibiarin']"
259,260,negative,<PROVIDER_NAME> memang bangsat gemas duh,bangsat gemas duh,"['bangsat', 'gemas', 'duh']"
260,261,negative,Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>,signal mentari prihatin pikir ganti kartu kecewa,"['signal', 'mentari', 'prihatin', 'pikir', 'ganti', 'kartu', 'kecewa']"
261,262,negative,<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g ,ganggu daerah kramat jati sumpah lelet banget g,"['ganggu', 'daerah', 'kramat', 'jati', 'sumpah', 'lelet', 'banget', 'g']"
262,263,negative,"<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih? ",super lelet g tp cepat kbs ganggu gimana sih,"['super', 'lelet', 'g', 'tp', 'cepat', 'kbs', 'ganggu', 'gimana', 'sih']"
263,264,negative,tai <PROVIDER_NAME>,tai,['tai']
264,265,negative,"Ya allah. Kalau hujan sinyal <PROVIDER_NAME> kaya lagunya Kotak ""Pelan Pelan Saja""",ya allah hujan sinyal kaya lagu kotak pelan pelan,"['ya', 'allah', 'hujan', 'sinyal', 'kaya', 'lagu', 'kotak', 'pelan', 'pelan']"
265,266,negative,bikin kelar <PROVIDER_NAME> ,bikin kelar,"['bikin', 'kelar']"
266,267,negative,<PROVIDER_NAME> Hooq sangat tidak bermanfaat. Beli kuota bisa menonton di youtube gak perlu Hooq #rugi <PRODUCT_NAME> #kuota <PROVIDER_NAME> ,hooq manfaat beli kuota tonton youtube gak hooq rugi kuota,"['hooq', 'manfaat', 'beli', 'kuota', 'tonton', 'youtube', 'gak', 'hooq', 'rugi', 'kuota']"
267,268,negative,<PROVIDER_NAME>  Di daerahku udah 3 hari  trouble mulu,daerah udah trouble mulu,"['daerah', 'udah', 'trouble', 'mulu']"
268,269,negative,"sisa 2 hari kuota <PROVIDER_NAME> <PROVIDER_NAME> tapi sudah dibilang habis, gimana ini!",sisa kuota bilang habis gimana,"['sisa', 'kuota', 'bilang', 'habis', 'gimana']"
269,270,negative,Jaringan simpati anjir banget akhir2 ini. <PROVIDER_NAME>,jaringan simpati anjir banget,"['jaringan', 'simpati', 'anjir', 'banget']"
270,271,negative,Dan terjadi lagi <PROVIDER_NAME> tai,tai,['tai']
271,272,positive,Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.,untung pakai rumah alhamdulillah urus beres,"['untung', 'pakai', 'rumah', 'alhamdulillah', 'urus', 'beres']"
272,273,negative,jaringan <PROVIDER_NAME> flash untuk daerah aceh singkil kok gak stabil <PROVIDER_NAME>,jaringan flash daerah aceh singkil gak stabil,"['jaringan', 'flash', 'daerah', 'aceh', 'singkil', 'gak', 'stabil']"
273,274,negative,<PROVIDER_NAME> tarif mahal dengan sinyal parah.,tarif mahal sinyal parah,"['tarif', 'mahal', 'sinyal', 'parah']"
274,275,negative,"Jadi, sudah seminggu ini saya digangguin sama bunyi SMS dari <PROVIDER_NAME>. Ada promo, katanya.… <URL> ",minggu digangguin bunyi sms promo,"['minggu', 'digangguin', 'bunyi', 'sms', 'promo']"
275,276,negative,Oh jariangan kenapa <PROVIDER_NAME>,oh jariangan,"['oh', 'jariangan']"
276,277,negative,Tiap jam 12 malam ke atas hancur koneksinya <PROVIDER_NAME>,jam malam hancur koneksi,"['jam', 'malam', 'hancur', 'koneksi']"
277,278,negative,Sedih saya kalau beli paket internet <PROVIDER_NAME>,sedih beli paket internet,"['sedih', 'beli', 'paket', 'internet']"
278,279,positive,Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa,hobi ngecek kali aja promo kuota internet penguna setia alhamdulillah rejeki anak,"['hobi', 'ngecek', 'kali', 'aja', 'promo', 'kuota', 'internet', 'penguna', 'setia', 'alhamdulillah', 'rejeki', 'anak']"
279,280,negative,<PROVIDER_NAME> setelah dihack malah tambah mahal,dihack mahal,"['dihack', 'mahal']"
280,281,negative,Jaringan lelet <PROVIDER_NAME>,jaringan lelet,"['jaringan', 'lelet']"
281,282,negative,<PROVIDER_NAME> lagi gangguan ya??,ganggu ya,"['ganggu', 'ya']"
282,283,negative,<PROVIDER_NAME> hancur jaringannya,hancur jaring,"['hancur', 'jaring']"
283,284,negative,Setiap isi pulsa belum dipakai pasti hilang mohon pejelasannya buat <PROVIDER_NAME>,isi pulsa pakai hilang mohon jelas,"['isi', 'pulsa', 'pakai', 'hilang', 'mohon', 'jelas']"
284,285,negative,<PROVIDER_NAME> memang bikin sebal ,bikin sebal,"['bikin', 'sebal']"
285,286,negative,4G LTE <PROVIDER_NAME> sedang bermasalah,g lte masalah,"['g', 'lte', 'masalah']"
286,287,negative,<PROVIDER_NAME> luar biasa parah 2 hari cuma buang2 kuota... payah <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME>,parah buang kuota payah,"['parah', 'buang', 'kuota', 'payah']"
287,288,positive,koneksinya makin lancar pakai <PROVIDER_NAME> ,koneksi lancar pakai,"['koneksi', 'lancar', 'pakai']"
288,289,positive,pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!! ,pakai sinyal lancar yess,"['pakai', 'sinyal', 'lancar', 'yess']"
289,290,positive,"Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,",datadata kerja cepat cari internetnya pakai,"['datadata', 'kerja', 'cepat', 'cari', 'internetnya', 'pakai']"
290,291,positive,"<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD",juara nonton youtube kuota full aja xd,"['juara', 'nonton', 'youtube', 'kuota', 'full', 'aja', 'xd']"
291,292,positive,Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun,nikmat dapat guna tonton youtube gratis tahun,"['nikmat', 'dapat', 'guna', 'tonton', 'youtube', 'gratis', 'tahun']"
292,293,positive,Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah,upload file mudah jaringan internetnya cepat alhamdulillah,"['upload', 'file', 'mudah', 'jaringan', 'internetnya', 'cepat', 'alhamdulillah']"
293,294,positive,"Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :))",untung pake kerja gua lancar,"['untung', 'pake', 'kerja', 'gua', 'lancar']"
294,295,positive,Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.,siang nyoba bonus telpon pakai kartu aman lancar jaya suara cuaca hujan,"['siang', 'nyoba', 'bonus', 'telpon', 'pakai', 'kartu', 'aman', 'lancar', 'jaya', 'suara', 'cuaca', 'hujan']"
295,296,positive,"Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur",pantesan lancar ya sinyal g lancar lombok timur,"['pantesan', 'lancar', 'ya', 'sinyal', 'g', 'lancar', 'lombok', 'timur']"
296,297,positive,Alhamdulillah lancar pakai <PROVIDER_NAME>,alhamdulillah lancar pakai,"['alhamdulillah', 'lancar', 'pakai']"
297,298,positive,"Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.",untung pakai internet lancar ide,"['untung', 'pakai', 'internet', 'lancar', 'ide']"
298,299,positive,"di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya.",ramai lokasi wisata jaya,"['ramai', 'lokasi', 'wisata', 'jaya']"
299,300,negative,Sinyal <PROVIDER_NAME> amsyong d stadion gajayana,sinyal amsyong d stadion gajayana,"['sinyal', 'amsyong', 'd', 'stadion', 'gajayana']"
